"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
338945;NA;2018;2018-08-07;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";842;967;16;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338950;NA;2018;2018-08-07;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";827;1079;19;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338954;NA;2018;2018-08-07;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";845;1009;18;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338955;NA;2018;2018-08-07;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";670;528;13;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338956;NA;2018;2018-08-07;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";744;655;12;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338957;NA;2018;2018-08-07;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";676;411;12;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338960;NA;2018;2018-12-12;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";710;600;12;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338964;NA;2018;2018-12-12;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";824;1231;11;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338965;NA;2018;2018-12-12;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";790;889;14;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338966;NA;2018;2018-12-12;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";763;873;15;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338968;NA;2018;2018-12-12;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";825;963;12;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338970;NA;2018;2018-12-12;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";745;701;13;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338973;NA;2018;2018-12-12;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";817;914;11;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338979;NA;2019;2019-10-25;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";845;1023;8;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338984;NA;2019;2019-10-25;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";864;1205;19;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338985;NA;2019;2019-10-25;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";923;1471;15;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338989;NA;2019;2019-12-12;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";795;944;14;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338990;NA;2019;2019-12-12;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";792;842;12;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338992;NA;2019;2019-12-12;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";721;740;11;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
338994;NA;2019;2019-12-12;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";620;410;21;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339003;NA;2019;2019-12-20;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";735;735;9;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339004;NA;2019;2019-12-20;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";765;899;14;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339005;NA;2019;2019-12-20;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";733;701;15;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339006;NA;2019;2019-12-20;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";837;1071;14;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339007;NA;2019;2019-12-20;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";671;591;14;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339012;NA;2019;2019-12-27;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";903;1290;20;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339019;NA;2019;2019-12-29;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";767;875;10;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339021;NA;2020;2020-10-29;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";755;740;14;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339022;NA;2020;2020-10-29;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";799;1077;11;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339023;NA;2020;2020-10-29;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";732;812;9;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339025;NA;2020;2020-10-29;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";745;768;11;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339029;NA;2020;2020-10-29;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";811;1028;10;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339033;NA;2020;2020-10-29;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";736;765;7;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339036;NA;2020;2020-10-29;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";870;1133;14;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339041;NA;2020;2020-10-29;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";795;963;13;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339043;NA;2020;2020-05-19;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";757;828;14;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
339048;NA;2020;2020-05-19;26.97;60.44;"FI";"KotkS";"FI_Finl";"C";867;1221;18;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";NA;NA;NA;NA;0;"series";"lfs_dont_match";""
