"mei_fi_id";"fi_id_cou";"fi_year";"fi_date";"ser_x";"ser_y";"ser_cou_code";"ser_nameshort";"ser_emu_nameshort";"ser_hty_code";"lengthmm";"weightg";"ageyear";"female_proportion";"method_sex";"sex";"sex_source";"fi_lfs_code";"ser_lfs_code";"lfs_code";"lfs_code_source";"sai_samplingstrategy";"sai_samplingobjective";"fi_comment";"sai_comment";"ser_qal_id";"source";"issue";"action"
3197444;"EE18_024";2018;2018-05-14;NA;NA;"EE";NA;"EE_Narv";"F";573;317;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197445;"EE18_025";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";541;286;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197446;"EE18_026";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";554;300.6;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197447;"EE18_027";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";546;278.2;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197448;"EE18_028";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";593;335.5;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197449;"EE18_029";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";538;306.5;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197450;"EE18_030";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";541;261.3;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197451;"EE18_031";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";518;288;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197452;"EE18_032";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";546;296;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197453;"EE18_033";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";596;354;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197454;"EE18_034";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";551;307;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197455;"EE18_035";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";523;260;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197456;"EE18_036";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";590;364;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197457;"EE18_037";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";571;311.6;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197458;"EE18_038";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";549;327;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197459;"EE18_039";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";530;267;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197460;"EE18_040";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";531;303.7;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197461;"EE18_041";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";585;290.2;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197462;"EE18_042";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";543;305.2;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197463;"EE18_043";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";602;373.7;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197464;"EE18_044";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";612;319.1;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197465;"EE18_045";2018;2018-05-17;NA;NA;"EE";NA;"EE_Narv";"F";511;291.8;NA;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197466;"EE19_001";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";601;366.1;7;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197467;"EE19_002";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";552;311.7;6;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197468;"EE19_003";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";540;296.8;5;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197469;"EE19_004";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";579;349.5;7;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197470;"EE19_005";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";560;317.9;6;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197471;"EE19_006";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";731;744;9;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197472;"EE19_007";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";820;856.1;14;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197473;"EE19_008";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";678;625.7;8;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197474;"EE19_009";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";598;370;6;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197475;"EE19_010";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";625;354;6;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197476;"EE19_011";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";715;600;8;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197477;"EE19_012";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";441;178;5;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing, sex_by_length_issue";""
3197478;"EE19_013";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";597;389;7;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197479;"EE19_014";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";655;455;7;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197480;"EE19_015";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";614;415;7;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197481;"EE19_016";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";612;464;7;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197482;"EE19_017";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";585;419;7;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197483;"EE19_018";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";758;1006;14;1;0;"f";"sex_provided_length";"S";"S";"S";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
3197484;"EE19_019";2019;NA;NA;NA;"EE";NA;"EE_Narv";"F";610;500;7;1;0;"f";"sex_provided_length";"Y";"Y";"Y";"fi_lfs_code";"scientific survey";"EU DCF";NA;NA;1;"sampling";"coordinates_missing";""
